3.http://ec2-52-26-207-208.us-west-2.compute.amazonaws.com/foo.html

4.
141.212.122.18 - - [19/Jul/2015:08:09:57 +0000] "GET /x HTTP/1.1" 400 0 "-" "Telesphoreo"
54.81.179.146 - - [19/Jul/2015:08:22:23 +0000] "HEAD / HTTP/1.1" 200 251 "-" "Cloud mapping experiment. Contact research@pdrlabs.net"
124.237.78.71 - - [19/Jul/2015:15:14:44 +0000] "GET http://zc.qq.com/cht/ HTTP/1.1" 404 436 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)"
141.212.122.2 - - [19/Jul/2015:21:58:24 +0000] "GET /x HTTP/1.1" 400 0 "-" "Telesphoreo"
54.81.139.232 - - [19/Jul/2015:22:22:36 +0000] "HEAD / HTTP/1.1" 200 251 "-" "Cloud mapping experiment. Contact research@pdrlabs.net"
128.223.223.126 - - [19/Jul/2015:22:33:20 +0000] "GET / HTTP/1.1" 200 835 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
128.223.223.126 - - [19/Jul/2015:22:45:49 +0000] "GET / HTTP/1.1" 200 622 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
128.223.223.126 - - [19/Jul/2015:22:46:50 +0000] "GET / HTTP/1.1" 200 622 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
128.223.223.79 - - [19/Jul/2015:22:48:28 +0000] "GET / HTTP/1.1" 200 638 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:39.0) Gecko/20100101 Firefox/39.0"
128.223.223.126 - - [19/Jul/2015:22:48:37 +0000] "GET / HTTP/1.1" 200 638 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
128.223.223.126 - - [19/Jul/2015:22:49:00 +0000] "GET / HTTP/1.1" 200 638 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
128.223.223.126 - - [19/Jul/2015:22:49:02 +0000] "GET / HTTP/1.1" 200 638 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
128.223.223.79 - - [19/Jul/2015:22:49:05 +0000] "GET / HTTP/1.1" 200 639 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:39.0) Gecko/20100101 Firefox/39.0"
128.223.223.79 - - [19/Jul/2015:22:49:57 +0000] "GET / HTTP/1.1" 200 639 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:39.0) Gecko/20100101 Firefox/39.0"
128.223.223.79 - - [19/Jul/2015:22:52:53 +0000] "GET / HTTP/1.1" 200 653 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:39.0) Gecko/20100101 Firefox/39.0"
128.223.223.126 - - [19/Jul/2015:22:53:01 +0000] "GET / HTTP/1.1" 200 653 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
128.223.223.79 - - [19/Jul/2015:22:54:22 +0000] "GET / HTTP/1.1" 200 666 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:39.0) Gecko/20100101 Firefox/39.0"
128.223.223.126 - - [19/Jul/2015:22:54:28 +0000] "GET / HTTP/1.1" 200 666 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
207.98.72.218 - - [19/Jul/2015:22:58:43 +0000] "GET / HTTP/1.1" 200 666 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36"
207.98.72.218 - - [19/Jul/2015:22:58:47 +0000] "GET /favicon.ico HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36"
207.108.198.121 - - [20/Jul/2015:03:26:06 +0000] "GET / HTTP/1.1" 200 666 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
207.108.198.121 - - [20/Jul/2015:03:26:08 +0000] "GET /favicon.ico HTTP/1.1" 404 502 "http://52.26.207.208/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
207.108.198.121 - - [20/Jul/2015:03:27:53 +0000] "GET / HTTP/1.1" 200 666 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
